game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_win,winner_team
2010_W01_MIN_at_NO,2010,1,2010-09-09,NO,MIN,14,9,1,NO
2010_W01_ARI_at_STL,2010,1,2010-09-12,STL,ARI,13,17,0,ARI
2010_W01_ATL_at_PIT,2010,1,2010-09-12,PIT,ATL,15,9,1,PIT
2010_W01_CAR_at_NYG,2010,1,2010-09-12,NYG,CAR,31,18,1,NYG
2010_W01_CIN_at_NE,2010,1,2010-09-12,NE,CIN,38,24,1,NE
2010_W01_CLE_at_TB,2010,1,2010-09-12,TB,CLE,17,14,1,TB
2010_W01_DAL_at_WAS,2010,1,2010-09-12,WAS,DAL,13,7,1,WAS
2010_W01_DEN_at_JAX,2010,1,2010-09-12,JAX,DEN,24,17,1,JAX
2010_W01_DET_at_CHI,2010,1,2010-09-12,CHI,DET,19,14,1,CHI
2010_W01_GB_at_PHI,2010,1,2010-09-12,PHI,GB,20,27,0,GB
2010_W01_IND_at_HOU,2010,1,2010-09-12,HOU,IND,34,24,1,HOU
2010_W01_MIA_at_BUF,2010,1,2010-09-12,BUF,MIA,10,15,0,MIA
2010_W01_OAK_at_TEN,2010,1,2010-09-12,TEN,OAK,38,13,1,TEN
2010_W01_SF_at_SEA,2010,1,2010-09-12,SEA,SF,31,6,1,SEA
2010_W01_BAL_at_NYJ,2010,1,2010-09-13,NYJ,BAL,9,10,0,BAL
2010_W01_SD_at_KC,2010,1,2010-09-13,KC,SD,21,14,1,KC
2010_W02_ARI_at_ATL,2010,2,2010-09-19,ATL,ARI,41,7,1,ATL
2010_W02_BAL_at_CIN,2010,2,2010-09-19,CIN,BAL,15,10,1,CIN
2010_W02_BUF_at_GB,2010,2,2010-09-19,GB,BUF,34,7,1,GB
2010_W02_CHI_at_DAL,2010,2,2010-09-19,DAL,CHI,20,27,0,CHI
2010_W02_HOU_at_WAS,2010,2,2010-09-19,WAS,HOU,27,30,0,HOU
2010_W02_JAX_at_SD,2010,2,2010-09-19,SD,JAX,38,13,1,SD
2010_W02_KC_at_CLE,2010,2,2010-09-19,CLE,KC,14,16,0,KC
2010_W02_MIA_at_MIN,2010,2,2010-09-19,MIN,MIA,10,14,0,MIA
2010_W02_NE_at_NYJ,2010,2,2010-09-19,NYJ,NE,28,14,1,NYJ
2010_W02_NYG_at_IND,2010,2,2010-09-19,IND,NYG,38,14,1,IND
2010_W02_PHI_at_DET,2010,2,2010-09-19,DET,PHI,32,35,0,PHI
2010_W02_PIT_at_TEN,2010,2,2010-09-19,TEN,PIT,11,19,0,PIT
2010_W02_SEA_at_DEN,2010,2,2010-09-19,DEN,SEA,31,14,1,DEN
2010_W02_STL_at_OAK,2010,2,2010-09-19,OAK,STL,16,14,1,OAK
2010_W02_TB_at_CAR,2010,2,2010-09-19,CAR,TB,7,20,0,TB
2010_W02_NO_at_SF,2010,2,2010-09-20,SF,NO,22,25,0,NO
2010_W03_ATL_at_NO,2010,3,2010-09-26,NO,ATL,24,27,0,ATL
2010_W03_BUF_at_NE,2010,3,2010-09-26,NE,BUF,38,30,1,NE
2010_W03_CIN_at_CAR,2010,3,2010-09-26,CAR,CIN,7,20,0,CIN
2010_W03_CLE_at_BAL,2010,3,2010-09-26,BAL,CLE,24,17,1,BAL
2010_W03_DAL_at_HOU,2010,3,2010-09-26,HOU,DAL,13,27,0,DAL
2010_W03_DET_at_MIN,2010,3,2010-09-26,MIN,DET,24,10,1,MIN
2010_W03_IND_at_DEN,2010,3,2010-09-26,DEN,IND,13,27,0,IND
2010_W03_NYJ_at_MIA,2010,3,2010-09-26,MIA,NYJ,23,31,0,NYJ
2010_W03_OAK_at_ARI,2010,3,2010-09-26,ARI,OAK,24,23,1,ARI
2010_W03_PHI_at_JAX,2010,3,2010-09-26,JAX,PHI,3,28,0,PHI
2010_W03_PIT_at_TB,2010,3,2010-09-26,TB,PIT,13,38,0,PIT
2010_W03_SD_at_SEA,2010,3,2010-09-26,SEA,SD,27,20,1,SEA
2010_W03_SF_at_KC,2010,3,2010-09-26,KC,SF,31,10,1,KC
2010_W03_TEN_at_NYG,2010,3,2010-09-26,NYG,TEN,10,29,0,TEN
2010_W03_WAS_at_STL,2010,3,2010-09-26,STL,WAS,30,16,1,STL
2010_W03_GB_at_CHI,2010,3,2010-09-27,CHI,GB,20,17,1,CHI
2010_W04_ARI_at_SD,2010,4,2010-10-03,SD,ARI,41,10,1,SD
2010_W04_BAL_at_PIT,2010,4,2010-10-03,PIT,BAL,14,17,0,BAL
2010_W04_CAR_at_NO,2010,4,2010-10-03,NO,CAR,16,14,1,NO
2010_W04_CHI_at_NYG,2010,4,2010-10-03,NYG,CHI,17,3,1,NYG
2010_W04_CIN_at_CLE,2010,4,2010-10-03,CLE,CIN,23,20,1,CLE
2010_W04_DEN_at_TEN,2010,4,2010-10-03,TEN,DEN,20,26,0,DEN
2010_W04_DET_at_GB,2010,4,2010-10-03,GB,DET,28,26,1,GB
2010_W04_HOU_at_OAK,2010,4,2010-10-03,OAK,HOU,24,31,0,HOU
2010_W04_IND_at_JAX,2010,4,2010-10-03,JAX,IND,31,28,1,JAX
2010_W04_NYJ_at_BUF,2010,4,2010-10-03,BUF,NYJ,14,38,0,NYJ
2010_W04_SEA_at_STL,2010,4,2010-10-03,STL,SEA,20,3,1,STL
2010_W04_SF_at_ATL,2010,4,2010-10-03,ATL,SF,16,14,1,ATL
2010_W04_WAS_at_PHI,2010,4,2010-10-03,PHI,WAS,12,17,0,WAS
2010_W04_NE_at_MIA,2010,4,2010-10-04,MIA,NE,14,41,0,NE
2010_W05_ATL_at_CLE,2010,5,2010-10-10,CLE,ATL,10,20,0,ATL
2010_W05_CHI_at_CAR,2010,5,2010-10-10,CAR,CHI,6,23,0,CHI
2010_W05_DEN_at_BAL,2010,5,2010-10-10,BAL,DEN,31,17,1,BAL
2010_W05_GB_at_WAS,2010,5,2010-10-10,WAS,GB,16,13,1,WAS
2010_W05_JAX_at_BUF,2010,5,2010-10-10,BUF,JAX,26,36,0,JAX
2010_W05_KC_at_IND,2010,5,2010-10-10,IND,KC,19,9,1,IND
2010_W05_NO_at_ARI,2010,5,2010-10-10,ARI,NO,30,20,1,ARI
2010_W05_NYG_at_HOU,2010,5,2010-10-10,HOU,NYG,10,34,0,NYG
2010_W05_PHI_at_SF,2010,5,2010-10-10,SF,PHI,24,27,0,PHI
2010_W05_SD_at_OAK,2010,5,2010-10-10,OAK,SD,35,27,1,OAK
2010_W05_STL_at_DET,2010,5,2010-10-10,DET,STL,44,6,1,DET
2010_W05_TB_at_CIN,2010,5,2010-10-10,CIN,TB,21,24,0,TB
2010_W05_TEN_at_DAL,2010,5,2010-10-10,DAL,TEN,27,34,0,TEN
2010_W05_MIN_at_NYJ,2010,5,2010-10-11,NYJ,MIN,29,20,1,NYJ
2010_W06_ATL_at_PHI,2010,6,2010-10-17,PHI,ATL,31,17,1,PHI
2010_W06_BAL_at_NE,2010,6,2010-10-17,NE,BAL,23,20,1,NE
2010_W06_CLE_at_PIT,2010,6,2010-10-17,PIT,CLE,28,10,1,PIT
2010_W06_DAL_at_MIN,2010,6,2010-10-17,MIN,DAL,24,21,1,MIN
2010_W06_DET_at_NYG,2010,6,2010-10-17,NYG,DET,28,20,1,NYG
2010_W06_IND_at_WAS,2010,6,2010-10-17,WAS,IND,24,27,0,IND
2010_W06_KC_at_HOU,2010,6,2010-10-17,HOU,KC,35,31,1,HOU
2010_W06_MIA_at_GB,2010,6,2010-10-17,GB,MIA,20,23,0,MIA
2010_W06_NO_at_TB,2010,6,2010-10-17,TB,NO,6,31,0,NO
2010_W06_NYJ_at_DEN,2010,6,2010-10-17,DEN,NYJ,20,24,0,NYJ
2010_W06_OAK_at_SF,2010,6,2010-10-17,SF,OAK,17,9,1,SF
2010_W06_SD_at_STL,2010,6,2010-10-17,STL,SD,20,17,1,STL
2010_W06_SEA_at_CHI,2010,6,2010-10-17,CHI,SEA,20,23,0,SEA
2010_W06_TEN_at_JAX,2010,6,2010-10-18,JAX,TEN,3,30,0,TEN
2010_W07_ARI_at_SEA,2010,7,2010-10-24,SEA,ARI,22,10,1,SEA
2010_W07_BUF_at_BAL,2010,7,2010-10-24,BAL,BUF,37,34,1,BAL
2010_W07_CIN_at_ATL,2010,7,2010-10-24,ATL,CIN,39,32,1,ATL
2010_W07_CLE_at_NO,2010,7,2010-10-24,NO,CLE,17,30,0,CLE
2010_W07_JAX_at_KC,2010,7,2010-10-24,KC,JAX,42,20,1,KC
