game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_win,winner_team,home_pregame_win_pct,home_pregame_points_for_pg,home_pregame_points_against_pg,home_pregame_point_diff_pg,home_days_rest,away_pregame_win_pct,away_pregame_points_for_pg,away_pregame_points_against_pg,away_pregame_point_diff_pg,away_days_rest,pregame_win_pct_diff,pregame_points_for_pg_diff,pregame_points_against_pg_diff,pregame_point_diff_pg_diff,days_rest_diff,target_home_win
2010_W01_MIN_at_NO,2010,1,2010-09-09,NO,MIN,14,9,1,NO,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_ARI_at_STL,2010,1,2010-09-12,STL,ARI,13,17,0,ARI,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0
2010_W01_ATL_at_PIT,2010,1,2010-09-12,PIT,ATL,15,9,1,PIT,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_CAR_at_NYG,2010,1,2010-09-12,NYG,CAR,31,18,1,NYG,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_CIN_at_NE,2010,1,2010-09-12,NE,CIN,38,24,1,NE,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_CLE_at_TB,2010,1,2010-09-12,TB,CLE,17,14,1,TB,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_DAL_at_WAS,2010,1,2010-09-12,WAS,DAL,13,7,1,WAS,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_DEN_at_JAX,2010,1,2010-09-12,JAX,DEN,24,17,1,JAX,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_DET_at_CHI,2010,1,2010-09-12,CHI,DET,19,14,1,CHI,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_GB_at_PHI,2010,1,2010-09-12,PHI,GB,20,27,0,GB,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0
2010_W01_IND_at_HOU,2010,1,2010-09-12,HOU,IND,34,24,1,HOU,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_MIA_at_BUF,2010,1,2010-09-12,BUF,MIA,10,15,0,MIA,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0
2010_W01_OAK_at_TEN,2010,1,2010-09-12,TEN,OAK,38,13,1,TEN,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
2010_W01_SF_at_SEA,2010,1,2010-09-12,SEA,SF,31,6,1,SEA,0.5,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
