game_id,season,week,gameday,team_id,opponent_team,is_home,points_for,points_against,win,games_played_before,cum_wins_before,cum_losses_before,cum_points_for_before,cum_points_against_before,pregame_win_pct,pregame_points_for_pg,pregame_points_against_pg,pregame_point_diff_pg,days_rest
2010_W01_ARI_at_STL,2010,1,2010-09-12,ARI,STL,0,17,13,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7.0
2010_W02_ARI_at_ATL,2010,2,2010-09-19,ARI,ATL,0,7,41,0,1,1.0,0.0,17.0,13.0,1.0,17.0,13.0,4.0,7.0
2010_W03_OAK_at_ARI,2010,3,2010-09-26,ARI,OAK,1,24,23,1,2,1.0,1.0,24.0,54.0,0.5,12.0,27.0,-15.0,7.0
2010_W04_ARI_at_SD,2010,4,2010-10-03,ARI,SD,0,10,41,0,3,2.0,1.0,48.0,77.0,0.6666666666666666,16.0,25.666666666666668,-9.666666666666668,7.0
2010_W05_NO_at_ARI,2010,5,2010-10-10,ARI,NO,1,30,20,1,4,2.0,2.0,58.0,118.0,0.5,14.5,29.5,-15.0,7.0
2010_W07_ARI_at_SEA,2010,7,2010-10-24,ARI,SEA,0,10,22,0,5,3.0,2.0,88.0,138.0,0.6,17.6,27.6,-10.0,14.0
2010_W08_TB_at_ARI,2010,8,2010-10-31,ARI,TB,1,35,38,0,6,3.0,3.0,98.0,160.0,0.5,16.333333333333332,26.666666666666668,-10.333333333333336,7.0
2010_W09_ARI_at_MIN,2010,9,2010-11-07,ARI,MIN,0,24,27,0,7,3.0,4.0,133.0,198.0,0.42857142857142855,19.0,28.285714285714285,-9.285714285714285,7.0
2010_W10_SEA_at_ARI,2010,10,2010-11-14,ARI,SEA,1,18,36,0,8,3.0,5.0,157.0,225.0,0.375,19.625,28.125,-8.5,7.0
2010_W11_ARI_at_KC,2010,11,2010-11-21,ARI,KC,0,13,31,0,9,3.0,6.0,175.0,261.0,0.3333333333333333,19.444444444444443,29.0,-9.555555555555557,7.0
2010_W12_SF_at_ARI,2010,12,2010-11-29,ARI,SF,1,6,27,0,10,3.0,7.0,188.0,292.0,0.3,18.8,29.2,-10.399999999999999,8.0
2010_W13_STL_at_ARI,2010,13,2010-12-05,ARI,STL,1,6,19,0,11,3.0,8.0,194.0,319.0,0.2727272727272727,17.636363636363637,29.0,-11.363636363636363,6.0
2010_W14_DEN_at_ARI,2010,14,2010-12-12,ARI,DEN,1,43,13,1,12,3.0,9.0,200.0,338.0,0.25,16.666666666666668,28.166666666666668,-11.5,7.0
2010_W15_ARI_at_CAR,2010,15,2010-12-19,ARI,CAR,0,12,19,0,13,4.0,9.0,243.0,351.0,0.3076923076923077,18.692307692307693,27.0,-8.307692307692307,7.0
2010_W16_DAL_at_ARI,2010,16,2010-12-25,ARI,DAL,1,27,26,1,14,4.0,10.0,255.0,370.0,0.2857142857142857,18.214285714285715,26.428571428571427,-8.214285714285712,6.0
2010_W17_ARI_at_SF,2010,17,2011-01-02,ARI,SF,0,7,38,0,15,5.0,10.0,282.0,396.0,0.3333333333333333,18.8,26.4,-7.599999999999998,8.0
2011_W01_CAR_at_ARI,2011,1,2011-09-11,ARI,CAR,1,28,21,1,16,5.0,11.0,289.0,434.0,0.3125,18.0625,27.125,-9.0625,252.0
2011_W02_ARI_at_WAS,2011,2,2011-09-18,ARI,WAS,0,21,22,0,17,6.0,11.0,317.0,455.0,0.35294117647058826,18.647058823529413,26.764705882352942,-8.117647058823529,7.0
2011_W03_ARI_at_SEA,2011,3,2011-09-25,ARI,SEA,0,10,13,0,18,6.0,12.0,338.0,477.0,0.3333333333333333,18.77777777777778,26.5,-7.722222222222221,7.0
2011_W04_NYG_at_ARI,2011,4,2011-10-02,ARI,NYG,1,27,31,0,19,6.0,13.0,348.0,490.0,0.3157894736842105,18.31578947368421,25.789473684210527,-7.473684210526319,7.0
